"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1721","Midsummer","-56,6%","49%","-2,5","-4,2","-0,36","1,5",,"226","32,0","-2,3%","-19,1%","-27,2%"
"2175","Mildef Group","-29,0%","-18%","-45,8","86,2","-0,74","9,0",,"10188","64,0","-2,3%","57,9%","18,6%"
"2502","MindArk","4,2%","-22%","0,8","-1,9",,"0,4","-0,1","41","44,7","-4,0%","-14,4%","-11,3%"
"913","Minesto","-6,8%","-6%","-8,5","-5,1","-0,25","0,6",,"330","39,6","-11,0%","-20,9%","-36,8%"
"1421","Mips","50,4%","-50%","58,2","76,8","-0,38","16,4","0,6","10501","35,1","-4,4%","-3,5%","-18,9%"
"529","Miris","-58,6%","20%","-3,0","-1,4","-0,01","4,2",,"12","42,6","-15,8%","-3,8%","-28,3%"
"1897","MOBA Network","-0,2%","27%","9,2","-25,6","-2,18","0,5",,"162","45,2","-2,8%","-12,3%","-8,9%"
"246","Moberg Pharma","-64,4%","-41%","-0,3","-1,1","-1,53","0,6",,"379","43,3","-2,2%","-50,5%","-12,7%"
"2133","Modelon",,"-52%","-2,4","-3,0","-0,02","4,5",,"208","42,7","-4,2%","5,0%","-13,6%"
"1622","Modern Times Group A","-1,8%","-20%","10,9","12,5","-4,67","1,0",,"14499","40,9","-0,6%","25,8%","-7,4%"
"148","Modern Times Group B","-1,8%","-20%","11,0","12,5","-4,67","1,0",,"14550","42,5","-1,4%","25,7%","-6,7%"
"2239","Modus Therapeutics",,"-90%","-2,9","-3,1",,"23,2",,"50","60,3","3,4%","-11,5%","4,2%"
"1855","Mofast","0,2%","50%","353,6","70,9","-0,69","0,2","-1,3","534","52,4","-2,5%","-0,3%","0,0%"
"255","Moment Group","-11,0%","54%","-45,0","11,6","-0,56","3,6",,"195","54,2","6,4%","-14,8%","-3,3%"
"2383","Momentum Group","13,6%","23%","30,3","40,0","-2,37","10,8","10,1","7986","41,0","-1,2%","-1,4%","-14,0%"
"1922","Monivent","-343,5%","3%","-0,8","-0,7","-0,03","6,4",,"22","50,9","-1,4%","-18,9%","-10,0%"
"473","Motion Display","-26,4%","24%","-14,0","20,8","-0,07","2,7",,"12","51,3","1,4%","-40,5%","-4,3%"
"2195","MoveByBike",,"116%","-0,4","-2,4","-0,01","-0,4",,"13","64,3","-12,0%","-71,0%","23,3%"
"2571","mResell",,,,,,,,"60",,"-0,8%",,"-18,4%"
"2346","MTI Investment","-72,2%","-15%","-0,3","-0,2","-0,08","0,6",,"13","46,9","-4,7%","-29,3%","-25,2%"
"1439","Munters","9,0%","29%","13,5","-50,0","-15,74","3,1","0,8","18741","18,7","-11,2%","-23,3%","-24,1%"
"2400","My Beat","-26,7%","39%","-4,5","-11,1","-0,20","4,0",,"24","39,0","-9,9%","-39,9%","-22,0%"
"140","Mycronic","40,3%","-27%","19,2","28,2","-5,15","6,3","0,4","41713","39,8","-1,3%","11,0%","-6,1%"
"147","mySafety","-23,7%","16%","-12,0","-48,6","-0,28","2,1",,"190","54,2","0,2%","25,7%","-5,0%"
"771","Nanexa","-39,6%","-9%","-5,5","-2,6","-0,21","2,1",,"175","35,5","-3,3%","-10,1%","-19,5%"
"414","NanoCap","-9,9%","-5%","-4,8","-16,3","0,28","0,4",,"31","24,5","-5,8%","-6,2%","-20,5%"
"2546","NanoEcho",,,,,,,,"32","36,1","-10,9%",,"-23,1%"
"1941","Nanoform","-83,9%","-50%","-2,7","7,1","0,32","1,7",,"1155","56,0","2,7%","-21,0%","-4,7%"
"918","Nanologica",,"-0%","-0,6","-0,7","-0,16","-6,0",,"106","13,4","-13,5%","-36,1%","-35,5%"
"2325","Nattaro Labs","-52,4%","10%","-1,5","-1,4","-0,07","0,7",,"11","47,0","-5,0%","9,2%","-16,7%"
"2516","Navigo Invest","-17,3%","7%","-1,2","-9,2","-0,04","0,1",,"166","36,4","-3,8%","-25,7%","-9,7%"
"150","NAXS","-11,0%","-25%","-5,9","10,3","4,70","0,8",,"634","61,4","1,5%","-2,2%","1,8%"
